EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5693932,TARRANT CO.,BENBROOK LAKE,05/04/1999,1140,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,LAW ENFORCEMENT, , , , , , , ,BENBROOK LAKE,05/04/1999,1140,32.63,-97.47,32.63,-97.47,"","",1
5693933,TARRANT CO.,FT WORTH,05/04/1999,1158,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,FT WORTH,05/04/1999,1158,32.75,-97.35,32.75,-97.35,"","",2
5693934,TARRANT CO.,FT WORTH,05/04/1999,1224,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,FT WORTH,05/04/1999,1224,32.75,-97.35,32.75,-97.35,"","",3
5693940,TARRANT CO.,MANSFIELD,05/04/1999,1245,Hail,2.75, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,AMATEUR RADIO, , , , , , , ,MANSFIELD,05/04/1999,1245,32.57,-97.13,32.57,-97.13,"","",4
5693937,TARRANT CO.,CROWLEY,05/04/1999,1256,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , ,3,S,3,S,CROWLEY,05/04/1999,1256,32.53,-97.32,32.53,-97.32,"","",5
5693939,TARRANT CO.,ARLINGTON,05/04/1999,1305,Hail,2.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , ,ARLINGTON,05/04/1999,1305,32.73,-97.12,32.73,-97.12,"","",6
5693938,TARRANT CO.,MANSFIELD,05/04/1999,1311,Hail,3.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , ,5,E,5,E,MANSFIELD,05/04/1999,1311,32.57,-97.05,32.57,-97.05,"Hail fell near Joe Pool Lake.","",7
5694024,TARRANT CO.,WHITE SETTLEMENT,05/17/1999,1030,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,WHITE SETTLEMENT,05/17/1999,1030,32.77,-97.45,32.77,-97.45,"","",8
5694025,TARRANT CO.,BENBROOK,05/17/1999,1040,Hail,1.00, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,BENBROOK,05/17/1999,1040,32.68,-97.45,32.68,-97.45,"","",9
5694028,TARRANT CO.,FT WORTH,05/17/1999,1102,Hail,1.75, ,0,0,0,0,TX,CST, ,2406299,C,439,FWD,0,0,TRAINED SPOTTER, , , , , , , ,FT WORTH,05/17/1999,1102,32.75,-97.35,32.75,-97.35,"","",10
